PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1116699	1115	1	DR	1.99	8003059	11111305060
1184655	1114	1	DR	1.99	8046669	11111305060
1313346	1126	1	DR	2.99	8003043	11111305070
1406819	1114	1	DR	1.99	8003043	11111305070
1406819	1114	1	DR	3.99	8003043	11111305070
1148213	1163	2	DR	6.48	8003059	11111305070
1180844	1155	2	DR	4.98	8003059	11111305120
1222786	1125	1	DR	2.49	8046669	11111305120
1222786	1125	1	DR	2.5	8046669	11111305120
1122747	1137	2	DR	4.48	8003042	11111305120
1312843	1137	1	DR	2.24	8003042	11111305120
1202507	1144	1	DR	2.24	642166	11111311420
1145052	1124	1	DR	2.99	642166	11111311430
1145318	1119	1	DR	2.99	8003042	11111311430
1185801	1129	1	DR	2.99	650679	11111311430
1217729	1132	1	DR	2.24	8000583	11111311430
1305375	1143	1	DR	2.24	8003042	11111311450
1312017	1127	1	DR	2.99	642166	11111364750
1205732	1143	1	DR	2.24	8000583	11111364750
1310995	1132	1	DR	2.49	650679	13500008078
3399311	1148	1	DR	3.29	651444	13500008542
1108464	1149	1	DR	1.93	8003043	13500055300
1108464	1149	1	DR	1.79	8003043	13500055300
1128496	1128	1	DR	0.99	8003043	13500055300
1137273	1128	2	DR	2.92	8003043	13500055300
1227017	1121	1	DR	0.99	8003043	13500055300
1227017	1121	1	DR	0.99	8003043	13500055300
1227017	1121	1	DR	0.99	8003043	13500055300
1227017	1121	1	DR	0.99	8003043	13500055300
1111542	1127	1	DR	0.99	8003059	13500055300
1111542	1127	1	DR	0.99	8003059	13500055300
1187773	1149	2	DR	3.72	8003059	13500055300
1226704	1143	1	DR	1.79	8003059	13500055300
1198317	1149	2	DR	3.86	8046669	13500055300
1220376	1128	3	DR	3.9	8046669	13500055300
1230805	1155	2	DR	3.6	8046669	13500055300
1402479	1149	2	DR	3.72	8046669	13500055300
1114413	1143	1	DR	1.79	8003043	13500055322
1219154	1121	1	DR	0.99	8003043	13500055322
1219154	1121	1	DR	0.99	8003043	13500055322
