PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1319871	1134	2	GR	7.98	213290	11111305060
1140178	1165	1	GR	4.39	648764	11111305060
1188961	1163	1	GR	4.39	648764	11111305060
1215566	1163	1	GR	4.39	648764	11111305060
1802132	1163	1	GR	4.39	648764	11111305060
1180992	1147	1	GR	2.99	234140	11111305060
1309658	1149	1	GR	2.99	234140	11111305060
1113423	1135	1	GR	2.99	652159	11111305060
1113886	1142	1	GR	2.99	652159	11111305060
1129387	1136	1	GR	2.99	652159	11111305060
1145318	1148	1	GR	2.99	652159	11111305060
1194639	1123	1	GR	3.99	652159	11111305060
1223610	1163	1	GR	3.49	652159	11111305060
1227595	1165	1	GR	3.49	652159	11111305060
1401539	1143	1	GR	2.99	652159	11111305060
1811513	1156	1	GR	3.49	652159	11111305060
1815530	1137	1	GR	2.99	652159	11111305060
1104315	1156	1	GR	3.99	248128	11111305060
1129486	1127	1	GR	3.99	248128	11111305060
1196584	1116	1	GR	3.99	248128	11111305060
1206912	1161	2	GR	7.98	248128	11111305060
1304287	1142	1	GR	3.99	248128	11111305060
1405456	1154	1	GR	3.99	248128	11111305060
1407064	1118	1	GR	3.99	248128	11111305060
3114744	1116	4	GR	7.6	257006	11111305060
1126763	1134	1	GR	3.99	213290	11111305070
1132282	1142	1	GR	3.99	213290	11111305070
1140665	1134	2	GR	7.98	213290	11111305070
1100248	1163	1	GR	3.49	234140	11111305070
1145557	1164	2	GR	6.98	234140	11111305070
1129304	1164	1	GR	3.49	652159	11111305070
1180612	1163	1	GR	3.49	652159	11111305070
1180612	1163	1	GR	3.49	652159	11111305070
1180612	1163	1	GR	3.49	652159	11111305070
1310961	1163	1	GR	3.49	652159	11111305070
1150359	1161	1	GR	3.99	248128	11111305070
1188995	1162	2	GR	7.98	248128	11111305070
1300798	1122	1	GR	3.99	248128	11111305070
1107235	1149	1	GR	3.99	213290	11111305120
1128587	1115	1	GR	3.99	213290	11111305120
1128587	1116	2	GR	7.98	213290	11111305120
1128587	1118	1	GR	3.99	213290	11111305120
1128587	1120	2	GR	7.98	213290	11111305120
1128587	1125	1	GR	3.99	213290	11111305120
1128587	1144	2	GR	7.98	213290	11111305120
1128587	1146	1	GR	3.99	213290	11111305120
1128587	1149	1	GR	3.99	213290	11111305120
1128587	1162	1	GR	3.99	213290	11111305120
1128587	1163	1	GR	3.99	213290	11111305120
1138131	1142	1	GR	3.99	213290	11111305120
1140913	1139	1	GR	3.99	213290	11111305120
1190777	1115	1	GR	3.99	213290	11111305120
1190777	1116	1	GR	3.99	213290	11111305120
1190777	1125	2	GR	7.98	213290	11111305120
1190777	1136	1	GR	3.99	213290	11111305120
1190777	1142	2	GR	7.98	213290	11111305120
1190777	1154	1	GR	3.99	213290	11111305120
1190777	1163	2	GR	7.98	213290	11111305120
1213405	1163	1	GR	3.99	213290	11111305120
1242826	1136	1	GR	3.99	213290	11111305120
1315986	1142	2	GR	7.98	213290	11111305120
1810903	1163	1	GR	3.99	213290	11111305120
1128587	1131	1	GR	3.99	648764	11111305120
1128587	1133	2	GR	7.98	648764	11111305120
1128587	1137	1	GR	3.99	648764	11111305120
1128587	1139	1	GR	3.99	648764	11111305120
1128587	1141	1	GR	3.99	648764	11111305120
1128587	1142	2	GR	7.98	648764	11111305120
1128587	1151	1	GR	3.99	648764	11111305120
1128587	1159	1	GR	3.99	648764	11111305120
1128587	1160	2	GR	7.98	648764	11111305120
1223958	1133	1	GR	3.99	648764	11111305120
1310508	1164	1	GR	3.49	234140	11111305120
1405415	1125	1	GR	3.99	234140	11111305120
1815506	1164	1	GR	3.49	234140	11111305120
1143735	1135	2	GR	5.98	652159	11111305120
1213397	1163	1	GR	3.49	652159	11111305120
1319863	1163	1	GR	3.49	652159	11111305120
1803148	1136	1	GR	2.99	652159	11111305120
1304287	1126	1	GR	3.99	248128	11111305120
1315846	1136	1	GR	3.99	248128	11111305120
1100206	1120	1	GR	3.99	213592	11111305120
1100206	1133	1	GR	3.99	213592	11111305120
1100206	1155	1	GR	3.99	213592	11111305120
1100206	1155	1	GR	3.99	213592	11111305120
3121392	1131	1	GR	3.39	264075	11111305120
3128199	1159	1	GR	2.69	653776	11111305120
1199919	1149	1	GR	3.99	213290	11111305230
1203976	1129	1	GR	3.99	213290	11111305230
1137729	1119	2	GR	7.98	248128	11111305230
1142190	1155	1	GR	3.99	248128	11111305230
1103101	1159	1	GR	2.99	213290	11111311410
