PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
3120436	1133	2	MA	5.98	6002893	11111305070
3395723	1122	1	MA	2.79	6002893	11111305070
3348532	1130	2	MA	5.98	6002893	11111305120
3121541	1116	1	MA	2.99	6002893	11111305230
3395723	1122	1	MA	2.79	6002893	11111305230
3374371	1141	1	MA	2.39	6002893	11111311430
3315820	1156	1	MA	2.49	6002906	11111311430
3800938	1115	1	MA	2.99	6002893	11111311450
1401307	1160	4	MA	15.88	9979846	11111329370
3307926	1149	1	KK	2.97	9979667	11111329370
3309336	1154	1	MA	3.03	6000654	13500006874
3321703	1117	1	MA	2	6000654	13500008542
3357673	1144	1	MA	3.99	690004	13500009005
3820357	1145	1	MA	3.99	690004	13500009007
3369629	1121	1	MA	1.59	6000654	13500055332
3120980	1127	3	MA	6.33	6002893	13500055342
3310235	1127	1	MA	2.11	6002893	13500055342
3112235	1130	1	MA	2.49	6002906	13500055342
3140699	1161	1	MA	2.49	6002906	13500055342
3813758	1153	1	MA	2.49	6002906	13500055342
1816017	1164	1	MA	1.5	9979846	13500055903
3356279	1116	1	MA	1.99	690004	13500055905
3834184	1124	1	MA	2.49	690004	13500055905
3105064	1122	1	MA	2.99	6002893	13500055910
3105064	1138	1	MA	2.99	6002893	13500055910
3107094	1123	1	MA	2.99	6002893	13500055910
3120980	1127	2	MA	5.08	6002893	13500055910
3842195	1124	1	MA	2.51	6000981	13500055910
3842195	1124	1	MA	2.51	6000981	13500055910
3349555	1125	1	KK	2.47	9979667	13500055910
3325431	1116	1	MA	1.96	690004	13500055910
3325431	1116	1	MA	1.96	690004	13500055910
3834184	1124	1	MA	2.49	690004	13500055910
3838359	1163	2	MA	5.98	6002906	13500055911
1315598	1118	1	MA	1.97	9979846	13500055911
3117515	1119	2	MA	5.08	6002893	13500058401
3120980	1127	2	MA	5.08	6002893	13500058401
3113365	1146	1	MA	2.54	6002893	13500068602
3328179	1127	1	MA	2.54	6002893	13500068602
3349266	1126	1	MA	2.99	6002893	13500068602
3834093	1120	2	MA	5.98	6002893	13500068602
3325431	1134	1	MA	2.54	6002906	13500068602
3306100	1159	1	MA	2.99	6002893	13500068603
3821298	1150	1	MA	2.49	6002893	13500068603
1130807	1133	1	MA	2.97	9979846	13500068603
3349514	1127	2	MA	5.08	6002893	13500068604
3339614	1133	1	MA	2.45	690004	13500068604
3370825	1139	1	MA	2.99	6002906	13500068605
3397836	1124	1	MA	2.74	6000981	13500068605
3339614	1133	1	MA	2.45	690004	13500068605
3101600	1127	1	MA	2.54	6002893	13500068650
3313577	1123	3	MA	7.62	6002893	13500068650
3395673	1127	2	MA	5.08	6002893	13500068650
3840942	1146	1	MA	2.99	6002893	13500068650
3839803	1145	1	MA	2.99	690004	13500068650
3307876	1120	1	MA	2.99	6002906	13500068660
3101600	1127	1	MA	2.54	6002893	13500068670
3111898	1150	1	MA	2.49	6002893	13500068670
3839183	1130	1	MA	2.99	6002893	13500068670
3836320	1165	1	MA	2.99	6002906	13500068670
3349555	1158	2	KK	4.5	9979667	13500068699
3111591	1116	2	MA	3.98	6002906	13500078590
3377325	1117	1	MA	1.99	6002906	13500078590
3377325	1117	1	MA	1.99	6002906	13500078590
3111898	1136	2	MA	3.38	6002893	13700000867
3306613	1114	1	MA	1.69	6002893	13700000867
3306613	1114	1	MA	1.69	6002893	13700000867
3326033	1152	3	MA	5.07	6002893	13700000867
3376954	1119	2	MA	3.38	6002893	13700000867
3377309	1119	1	MA	1.69	6002893	13700000867
3395673	1150	1	MA	1.99	6002893	13700000867
3841635	1165	1	MA	1.99	6002893	13700000867
3315861	1143	1	MA	1.99	6002906	13700000867
3370494	1153	1	MA	1.69	6002906	13700000867
3819151	1151	1	MA	1.99	6002906	13700000867
3339283	1154	1	MA	2	6000981	13700000867
3339283	1154	1	MA	2	6000981	13700000867
3339283	1154	1	MA	2	6000981	13700000867
3817643	1153	1	KK	1.97	9979667	13700000867
3316596	1149	1	MA	1.99	6000654	13700000867
3100925	1140	1	MA	2.29	9979648	13700000903
3111492	1162	1	MA	2.99	6002893	15310000131
3842278	1127	1	MA	2.75	6002893	15310000131
1181644	1128	1	MA	2.97	9979846	15310000210
3397836	1124	1	MA	1.63	6000981	17094200462
3397836	1124	1	MA	1.63	6000981	17094200462
1132894	1152	1	MA	1.78	9979846	17094200462
1132894	1152	1	MA	1.78	9979846	17094200462
3369439	1132	1	KK	1.78	9979667	17094200462
3320838	1124	1	KK	1.71	9979667	17094200470
3101139	1144	1	MA	4.31	9979650	17094212129
3325852	1161	1	MA	1.59	6002893	17103116420
3374371	1134	3	MA	3.81	6002893	17103116420
3808196	1125	2	MA	3.18	6002893	17103116420
3818799	1138	2	MA	3.18	6002893	17103116420
3112540	1114	2	MA	2.7	6002906	17103116420
3127969	1133	1	MA	1.59	6002906	17103116420
3321240	1157	1	MA	1.59	6002906	17103116420
3117762	1134	1	MA	1.59	6002893	17103116421
3300095	1165	1	MA	1.59	6002893	17103116421
3334656	1147	1	MA	0.99	6000981	17103180001
3334656	1147	1	MA	0.99	6000981	17103180001
3839217	1116	1	MA	0.99	6000981	17103180001
3349019	1143	1	MA	0.99	6000654	17103180001
3128132	1137	1	MA	1.49	6002893	17103180300
3105395	1164	1	MA	1.99	690004	17103180300
3836080	1120	1	MA	2.23	6002893	17146303405
3395228	1156	1	MA	2.49	690004	17146303405
3319806	1154	1	MA	0.99	9979621	17158200661
3319806	1154	1	MA	0.99	9979621	17158200661
3319806	1154	1	MA	0.99	9979621	17158200661
3319806	1154	1	MA	0.99	9979621	17158200661
3319806	1154	1	MA	0.99	9979621	17158200661
3319806	1154	1	MA	0.99	9979621	17158200661
3342899	1131	1	MA	0.25	9979621	17158200661
3342899	1131	1	MA	0.25	9979621	17158200661
3802678	1132	1	MA	0.25	9979621	17158200661
3802678	1132	1	MA	0.25	9979621	17158200661
3802678	1132	1	MA	0.25	9979621	17158200661
3326199	1152	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3377614	1131	1	KK	0.97	9979667	18085230000
3812222	1163	1	KK	0.97	9979667	18085230000
3818823	1115	1	KK	0.97	9979667	18085230000
3314252	1127	1	MA	1	9979621	18465200907
3400572	1115	1	KK	0.97	9979667	18480599211
3400572	1115	1	KK	0.97	9979667	18480599211
3812222	1148	1	KK	1.07	9979667	18480599211
3812222	1148	1	KK	1.07	9979667	18480599211
3812222	1163	1	KK	0.97	9979667	18480599211
3812222	1124	1	KK	0.97	9979667	18480599233
3812222	1124	1	KK	0.97	9979667	18480599233
1202440	1164	1	MA	0.87	9979856	19333310100
1202440	1164	1	MA	0.87	9979856	19333310100
1100206	1163	1	MA	0.87	9979846	19333310100
1100206	1163	1	MA	0.87	9979846	19333310100
1305581	1127	1	MA	0.87	9979846	19333310100
3815241	1154	1	KK	0.87	9979667	19333310100
3815241	1154	1	KK	0.87	9979667	19333310100
3300095	1123	1	KK	0.87	9979667	19333310200
3300095	1123	1	KK	0.87	9979667	19333310200
3300095	1156	1	KK	0.5	9979667	19333310200
3400572	1145	1	KK	1	9979667	19333312102
3334656	1142	1	MA	1.49	690004	19473442030
1100206	1163	1	MA	1.86	9979846	23500055853
1101238	1120	1	MA	1.86	9979846	23500055853
1212340	1128	1	MA	1.86	9979846	23500055853
1319137	1126	1	MA	1.86	9979846	23500055853
3100859	1122	1	MA	2.49	6002893	23500056000
3105502	1157	1	MA	2.49	6002893	23500056000
3112433	1130	1	MA	2.49	6002893	23500056000
3115600	1122	1	MA	2.49	6002893	23500056000
3395129	1155	1	MA	2.49	6002893	23500056000
3819300	1120	2	MA	4.22	6002893	23500056000
3835066	1127	2	MA	4.22	6002893	23500056000
3140699	1161	1	MA	2.49	6002906	23500056000
3818823	1131	1	KK	1.86	9979667	23500056000
3835538	1153	1	MA	2.99	6002893	23500068500
3325431	1134	1	MA	2.54	6002906	23500068500
3325431	1116	1	MA	2	690004	23500068500
3120998	1144	2	MA	3.38	6002893	23700000869
3395723	1158	2	MA	3.58	6002893	23700000869
3110312	1159	1	MA	1.79	6002906	23700000869
3339283	1141	1	MA	1.97	6000981	23700000869
3339283	1141	1	MA	1.97	6000981	23700000869
3339283	1141	1	MA	1.97	6000981	23700000869
1816017	1164	1	MA	1.97	9979846	23700000869
1816017	1164	2	MA	3.94	9979846	23700000869
3316596	1149	1	MA	1.98	6000654	23700000869
1206953	1117	1	MA	1.58	9979846	27094200460
3343830	1137	1	KK	1.78	9979667	27094200460
3373365	1136	1	KK	1.78	9979667	27094200460
3342899	1131	1	MA	0.5	9979621	27158200662
3342899	1131	1	MA	0.5	9979621	27158200662
1181644	1128	1	MA	2.74	9979846	31111301330
3816777	1162	1	MA	3.49	6002893	33700000347
3334656	1135	1	MA	2.99	690004	33700000347
3133934	1155	1	MA	2.54	6002893	33700000364
3370585	1165	1	MA	2.99	6002906	33700000364
1315564	1152	1	MA	2.57	9979846	33700000364
3328062	1137	1	MA	2.54	6002893	43700000294
3351791	1117	1	MA	2.54	6002893	43700000294
3141762	1159	1	MA	2.69	6002906	43700000365
3370585	1165	1	MA	2.99	6002906	43700000365
1315564	1152	1	MA	2.37	9979846	43700000365
3321836	1146	1	MA	2.85	6000981	43700000366
3817569	1133	1	KK	2.97	9979667	43700000366
3319806	1154	1	MA	0.45	9979621	47158200551
3319806	1154	1	MA	0.45	9979621	47158200551
3333229	1138	1	MA	4.99	6002893	310041060636
3821413	1130	1	MA	4.99	6002906	310041060636
3117622	1156	1	MA	4	6002893	310041060637
3333229	1138	1	MA	4.99	6002893	310041060637
3816736	1144	2	MA	8	6002893	310041060637
3818286	1144	2	MA	8	6002893	310041060637
3134775	1144	2	MA	8	6002906	310041060637
3134775	1156	1	MA	4.99	6002906	310041060637
3325431	1164	1	MA	4.49	6002906	310041060637
3139857	1161	1	MA	4.49	6002893	310041060638
3827915	1119	2	MA	7.98	6002893	310041060638
3105098	1125	1	MA	4.99	6002893	310041060640
3122234	1156	1	MA	4	6002893	310041060640
3134775	1145	2	MA	8	6002906	310041060640
1245746	1114	1	MA	3	9979846	310041060686
3323667	1116	1	KK	3	9979667	310041060687
3323667	1158	1	KK	2.92	9979667	310041060687
3133934	1155	1	MA	1.49	6002893	310041081465
3139469	1149	1	MA	2.29	6002893	310041081465
3395129	1129	1	MA	2.29	6002893	310041081465
3320838	1115	1	MA	2.13	690004	310041085120
3107250	1163	1	MA	2.69	6002893	310041085561
3321703	1155	1	MA	2	6002893	310041085561
3321703	1155	1	MA	2	6002893	310041085561
3357673	1144	2	MA	4	6002893	310041085561
3377614	1144	2	MA	4	6002893	310041085561
3808899	1118	2	MA	4	6002893	310041085561
3320838	1130	1	KK	1.5	9979667	310041085561
3353656	1116	1	MA	2	690004	310041085561
3353656	1116	1	MA	2	690004	310041085561
3138545	1144	2	MA	4	6002893	310041085562
3329904	1128	1	MA	2	6002893	310041085562
3369629	1155	2	MA	4	6002893	310041085562
3836338	1116	2	MA	5.08	6002893	310041085562
3133488	1127	1	MA	2	6002906	310041085562
3133488	1127	1	MA	2	6002906	310041085562
3321844	1117	1	KK	2.47	9979667	310041085562
3836338	1121	1	MA	2	690004	310041085562
3836338	1121	1	MA	2	690004	310041085562
3316943	1153	1	MA	2.44	6000981	310041086736
3353656	1122	1	MA	2.44	690004	310041086744
3823260	1132	1	MA	2.79	6002893	310041662122
3312165	1136	1	MA	2.79	6002906	310041662122
3835090	1133	1	MA	2.79	6002906	310041662122
3839647	1127	1	MA	2.79	6002906	310041662122
3327072	1157	1	MA	2.47	6000981	310041662122
3377325	1162	1	MA	2.42	690004	310041662122
3348532	1129	1	MA	1.99	690004	310041662134
3323667	1133	1	KK	3.77	9979667	310041662206
3313890	1125	1	KK	4	9979667	310041662207
3321844	1124	1	KK	4	9979667	310041662207
3330381	1118	1	KK	4	9979667	310041662207
3122234	1156	1	MA	3.99	6002893	310041662796
3300509	1120	1	MA	3.99	6002893	310041662796
3354720	1164	1	MA	3.69	6002893	310041662796
1319137	1126	1	MA	1.97	9979846	310041663072
1315564	1131	1	MA	2.47	9979846	310041663080
1315564	1131	1	MA	2.47	9979846	310041663080
1315564	1134	1	MA	2.47	9979846	310041663080
3347427	1124	1	MA	2.99	6002893	318137007322
3307876	1160	1	MA	2.99	6002906	318137007322
3325431	1134	1	MA	2.54	6002906	318137007322
3339283	1162	1	KK	2	9979667	318137007322
3339283	1162	1	KK	2	9979667	318137007322
3339283	1162	1	KK	2	9979667	318137007322
3834739	1153	1	MA	1.99	6002893	318137007324
3107037	1126	1	MA	2.54	6002906	318137007324
3350918	1153	1	KK	2	9979667	318137007324
3101550	1128	1	MA	2.99	6002893	318137007354
3819151	1124	1	MA	2.99	6002906	318137007354
3311852	1163	1	MA	2.89	6000981	318137007355
3326033	1147	1	MA	2.11	6002893	318137007401
3343301	1153	1	MA	2.49	6002906	318137007401
3311852	1143	1	MA	1.98	6000981	318137007401
3326033	1123	1	MA	2.03	9979650	318137007401
3328179	1160	1	MA	2.49	6002893	318137007402
3311852	1143	1	MA	2.07	6000981	318137007402
3334151	1118	1	KK	1.97	9979667	318137007402
3358275	1120	1	KK	1.97	9979667	318137007402
3374371	1134	2	MA	5.08	6002893	318137007430
3325431	1134	1	MA	2.54	6002906	318137007430
3352401	1121	1	MA	2.51	6000981	318137007430
1132894	1129	1	MA	2.27	9979849	318137007430
3817643	1143	1	KK	2	9979667	318137007433
1315564	1135	1	MA	2.72	9979846	318137007497
3812222	1148	1	KK	2	9979667	318137007497
3842195	1137	1	MA	2.99	6000981	318137007738
3325274	1126	1	MA	2.99	6000654	318137007738
3339283	1156	1	MA	2.89	6000981	318137007746
3339283	1156	1	MA	2.89	6000981	318137007746
3339283	1156	1	MA	2.89	6000981	318137007746
3105502	1157	1	MA	2.49	6002893	318137007792
3121541	1141	1	MA	2.49	6002893	318137007792
3306092	1139	1	MA	2.49	6002893	318137007792
3349555	1144	1	MA	2.49	6002893	318137007792
3836338	1148	1	MA	2.49	6002893	318137007792
3842278	1127	1	MA	2.49	6002893	318137007792
3349654	1120	1	MA	2.49	6002906	318137007792
1181644	1128	1	MA	2.17	9979846	318137007792
3300095	1123	1	KK	2.17	9979667	318137007792
3342899	1128	1	KK	1.97	9979667	318137127269
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
3377614	1131	1	KK	0.5	9979667	318480500124
